Date,Price,Volume
2014-08-25,6.3,934000
2014-08-26,6.26,934000
2014-08-28,6.38,934000
2014-08-29,6.4,1176000
2014-09-01,6.25,1873000
2014-09-02,6.35,1873000
2014-09-04,6.25,1873000
2014-09-05,6.04,2352000
2014-09-08,6.25,1873000
2014-09-09,6.23,1873000
2014-09-11,6.07,1873000
2014-09-12,6.06,2352000
2014-09-15,5.95,1873000
2014-09-16,5.81,1873000
2014-09-18,5.83,1873000
2014-09-19,5.94,2352000
2014-09-22,5.98,1873000
2014-09-23,5.9,1873000
2014-09-25,5.72,1873000
2014-09-26,5.8,2352000
2014-09-29,5.85,1873000
2014-09-30,5.68,1873000
2014-10-02,5.74,1873000
2014-10-06,5.67,1873000
2014-10-07,5.67,1873000
2014-10-09,6.06,1873000
2014-10-10,6.03,2352000
2014-10-13,5.88,1873000
2014-10-14,6.01,1873000
2014-10-16,6.16,1873000
2014-10-17,6.23,2352000
2014-10-20,6.03,1873000
2014-10-21,6.15,1873000
2014-10-23,6.16,1873000
2014-10-24,6.35,2352000
2014-10-27,6.33,1873000
2014-10-28,6.26,1873000
2014-10-30,6.38,1873000
2014-10-31,6.35,2352000
2014-11-03,6.3,1873000
2014-11-04,6.56,1873000
2014-11-06,6.61,1873000
2014-11-07,6.6,2352000
2014-11-10,6.7,1873000
2014-11-11,6.68,1873000
2014-11-13,6.78,1873000
2014-11-14,6.7,2352000
2014-11-17,6.64,1873000
2014-11-18,6.91,1873000
2014-11-20,6.93,1873000
2014-11-21,6.88,2352000
2014-11-24,7.02,1873000
2014-11-25,7.05,1873000
2014-11-27,7.09,1873000
2014-11-28,7.02,2352000
2014-12-01,6.95,1873000
2014-12-02,7.0,1873000
2014-12-04,6.77,1873000
2014-12-05,6.66,2352000
2014-12-08,6.58,1873000
2014-12-09,6.6,1873000
2014-12-11,6.65,1873000
2014-12-12,6.64,2335500
2014-12-15,6.6,1873000
2014-12-16,6.93,1727500
2015-01-08,6.7,2918000
2015-01-09,6.71,3198000
2015-01-12,6.59,2918000
2015-01-13,6.77,2918000
2015-01-15,7.1,2918000
2015-01-16,7.05,3198000
2015-01-19,7.06,2918000
2015-01-20,7.25,2918000
2015-01-22,7.02,2918000
2015-01-23,6.81,3198000
2015-01-26,6.76,2918000
2015-01-27,6.82,2918000
2015-01-28,6.76,2854000
2015-01-29,6.92,2918000
2015-01-30,6.96,3198000
2015-02-02,7.06,2918000
2015-02-03,7.06,2918000
2015-02-05,6.87,2918000
2015-02-06,6.92,3198000
2015-02-09,6.86,2918000
2015-02-10,6.88,2918000
2015-02-12,7.29,2918000
2015-02-13,7.35,3198000
2015-02-16,7.66,2918000
2015-02-17,7.62,2918000
2015-02-19,7.37,2918000
2015-02-20,7.26,3198000
2015-02-23,7.2,2918000
2015-02-24,7.66,2918000
2015-02-26,7.29,2918000
2015-02-27,6.93,3198000
2015-03-02,6.9,2918000
2015-03-03,6.82,2918000
2015-03-05,6.96,2918000
2015-03-06,6.7,3198000
2015-03-09,6.66,2918000
2015-03-10,6.67,2918000
2015-03-12,6.61,2918000
2015-03-13,6.26,3198000
2015-03-16,6.36,2918000
2015-03-17,6.45,2918000
2015-03-19,6.7,2918000
2015-03-20,6.7,3198000
2015-03-23,6.94,2918000
2015-03-24,7.02,2918000
2015-03-25,6.77,2854000
2015-03-26,7.0,2918000
2015-03-27,6.9,3198000
2015-03-30,6.81,2918000
2015-03-31,6.79,2918000
2015-04-02,7.14,2918000
2015-04-07,7.08,2918000
2015-04-09,7.12,2918000
2015-04-10,6.96,3198000
2015-04-13,6.82,2918000
2015-04-14,6.77,2918000
2015-04-16,6.82,2918000
2015-04-17,6.83,3198000
2015-04-20,6.88,2918000
2015-04-21,7.07,2918000
2015-04-23,7.06,2918000
2015-04-24,7.27,3198000
2015-04-27,7.33,2918000
2015-04-28,7.16,2918000
2015-04-30,7.52,2918000
2015-05-05,7.5,2918000
2015-05-07,7.5,2918000
2015-05-08,7.43,3198000
2015-05-11,7.5,2918000
2015-05-12,7.62,2918000
2015-05-15,7.48,3198000
2015-05-18,7.54,2918000
2015-05-19,7.51,2918000
2015-05-20,7.38,2854000
2015-05-21,7.3,2918000
2015-05-22,7.25,3198000
2015-05-26,7.28,2918000
2015-05-28,7.2,2918000
2015-05-29,7.22,3198000
2015-06-01,7.23,2918000
2015-06-02,7.26,2918000
2015-06-05,7.4,3198000
2015-06-08,7.38,2918000
2015-06-09,7.48,2918000
2015-06-11,7.58,2918000
2015-06-12,7.52,3198000
2015-06-15,7.54,2918000
2015-06-16,7.48,2918000
2015-06-18,7.45,2918000
2015-06-19,7.41,3198000
2015-06-22,7.43,2918000
2015-06-23,7.45,2918000
2015-06-25,7.52,2918000
2015-06-26,7.5,3198000
2015-06-29,7.36,2918000
2015-06-30,7.36,2918000
2015-07-02,7.42,2918000
2015-07-03,7.42,3198000
2015-07-06,7.33,2918000
2015-07-07,7.35,2918000
2015-07-09,7.43,2918000
2015-07-10,7.52,3198000
2015-07-13,7.64,2918000
2015-07-14,7.72,2918000
2015-07-16,7.69,2918000
2015-07-17,7.6,3198000
2015-07-20,7.76,2918000
2015-07-21,7.92,2918000
2015-07-23,8.04,2918000
2015-07-24,8.01,3198000
2015-07-27,7.98,2918000
2015-07-28,7.95,2918000
2015-07-29,8.03,2854000
2015-07-30,8.0,2918000
2015-07-31,7.82,3198000
2015-08-03,7.91,1459000
2015-08-04,7.94,1459000
2015-08-06,7.83,1459000
2015-08-07,7.79,1599000
2015-08-10,7.78,1459000
2015-08-11,7.95,1459000
2015-08-13,8.18,1459000
2015-08-14,8.15,1599000
2015-08-17,8.26,1459000
2015-08-18,8.17,1459000
2015-08-20,8.31,1459000
2015-08-21,8.31,1599000
2015-08-24,8.08,1459000
2015-08-25,8.22,1459000
2015-08-27,8.07,1459000
2015-08-28,8.04,1599000
2015-09-01,7.98,2918000
2015-09-03,8.06,2918000
2015-09-04,8.06,3198000
2015-09-07,8.02,2918000
2015-09-08,8.09,2918000
2015-09-10,8.25,2918000
2015-09-11,8.22,3198000
2015-09-14,8.21,2918000
2015-09-15,8.17,2918000
2015-09-17,8.18,2918000
2015-09-18,8.16,3198000
2015-09-21,8.04,2918000
2015-09-22,7.98,2918000
2015-09-23,8.04,2854000
2015-09-24,7.99,2918000
2015-09-25,7.94,3198000
2015-09-28,7.92,2918000
2015-09-29,7.87,2918000
2015-10-01,8.2,2918000
2015-10-02,8.1,3198000
2015-10-05,8.16,2918000
2015-10-06,8.16,2918000
2015-10-08,8.11,2918000
2015-10-09,8.16,3198000
2015-10-12,8.26,2918000
2015-10-13,8.3,2918000
2015-10-15,8.46,2918000
2015-10-16,8.37,3198000
2015-10-19,8.35,2918000
2015-10-20,8.32,2918000
2015-10-22,8.44,2918000
2015-10-23,8.52,3198000
2015-10-26,8.55,2918000
2015-10-27,8.63,2918000
2015-10-29,8.59,2918000
2015-10-30,8.59,3198000
2015-11-02,8.54,2918000
2015-11-03,8.58,2918000
2015-11-05,8.4,2918000
2015-11-06,8.45,3198000
2015-11-09,8.35,2918000
2015-11-10,8.28,2918000
2015-11-12,8.36,2918000
2015-11-13,8.34,3198000
2015-11-16,8.43,2918000
2015-11-17,8.49,2918000
2015-11-18,8.51,2855500
2015-11-19,8.57,2918000
2015-11-20,8.59,3198000
2015-11-23,8.46,2918000
2015-11-24,8.63,2918000
2015-11-26,8.61,2918000
2015-11-27,8.54,3198000
2015-11-30,8.55,2918000
2015-12-01,8.52,2918000
2015-12-03,8.44,2918000
2015-12-04,8.56,3198000
2015-12-07,8.42,2918000
2015-12-08,8.33,2918000
2015-12-10,8.32,2918000
